Set Number	Commands	Live Nodes
1	(100, 200, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 300, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 100, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(300, 100, 3)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(500, 4000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(600, 5000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(700, 6000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(800, 7000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(1000, 5000, 3)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(1000, 5100, 3)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(1000, 5200, 3)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(5000, 1000, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(5100, 1000, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(5200, 1000, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	F(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	F(n7)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(1500, 1600, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(1500, 4500, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(1500, 7500, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	R(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	R(n7)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(4500, 1500, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(7500, 1500, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
