Set Number	Commands	Live Nodes
1	(100, 5000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 6000, 15)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(300, 7000, 20)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(100, 5000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(200, 6000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(500, 4000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(600, 5000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(700, 6000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
