Set Number	Commands	Live Nodes
1	(100, 4000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 4500, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(100, 7000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n8)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(200, 7500, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n9)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(300, 8000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n8)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n9)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(500, 4000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(600, 5000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(700, 4500, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
