Set Number	Commands	Live Nodes
1	(100, 200, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 300, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 400, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 500, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 600, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 100, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(300, 100, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(400, 100, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(500, 100, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(600, 100, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(50, 4000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(50, 4100, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4000, 50, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4100, 50, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(50, 100, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(100, 7000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(7000, 100, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(200, 7000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(7000, 200, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(100, 200, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
