Set Number	Commands	Live Nodes
1	(50, 51, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 52, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 53, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(51, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(52, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(53, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 54, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(54, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 55, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(55, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 56, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(56, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 57, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(57, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 58, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(58, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 59, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(59, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 60, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(60, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
