Set Number	Commands	Live Nodes
1	(100, 4000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 5000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(100, 7000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n7)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n8)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(200, 8000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n7)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n8)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(100, 4000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(200, 7000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	F(n7)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(300, 5000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	R(n7)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
