Set Number	Commands	Live Nodes
1	(100)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 200, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4000)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(100, 4000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4000)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(100)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(7000)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(100, 7000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(7000)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
3	(100)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(50)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(50)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
4	(50)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
