Set Number	Commands	Live Nodes
1	(50, 51, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 52, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(51, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 4000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(52, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 53, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(4000, 50, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(53, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 54, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(54, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 7000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(55, 50, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(7000, 50, 2)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(50, 56, 1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
