Set Number	Commands	Live Nodes
1	F(n3)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 200, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 300, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(300, 400, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(400, 500, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(500, 600, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(600, 700, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(700, 800, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(800, 900, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(900, 1000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(1000, 1100, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n3)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 4000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 5000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	F(n6)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4000, 4100, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4100, 4200, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4200, 4300, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4300, 4400, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4400, 4500, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4500, 4600, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4600, 4700, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(4700, 4800, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	R(n6)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
2	(100, 4000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
