Set Number	Commands	Live Nodes
1	(100, 200, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 4000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(300)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(400, 500, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(4000, 7000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(600)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(700, 800, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	F(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(100, 7000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(4000)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n1)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(900, 1000, 5)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(7000)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(200, 5000, 10)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	R(n4)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
1	(1100)	[n1, n2, n3, n4, n5, n6, n7, n8, n9]
